,OBJECTID,INDEX,ACCNUM,TIME,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,DIVISION,x,y,YEAR,MONTH,DAY,WEEKDAY
LONGITUDE,0.005380351376834273,0.0018657354516917832,-0.014849037577514783,0.010044962310720459,0.01951306347107236,-0.01640502951149319,-0.0074001118108812484,0.025972744425219876,0.5262136067495755,0.4205172763752705,1.0,-0.01747939052374014,0.0032957346874046374,0.009480231772027854,0.007446201257069233,0.02133318651786326,-0.022089128661248653,-0.010303212228858445,-0.00012040980104944147,-0.012088358486760495,-0.0015533570558287602,0.08230572284074848,0.001063513026944931,0.012484330458410043,-0.004489365443470262,0.016395632466683508,0.005872873180318656,0.013127011264634081,-0.020897001854070153,-0.005883058719077872,-0.0020445052633288356,-0.009276099982318025,-0.005357704273646892,0.030400126736379502,0.010213619930051532,0.0031394358514424993,0.0008059639018175918,-0.05144021770347573,-0.014146748532162736,-0.0058873880058632295,0.015379616311974351,-0.005446642989184393,-0.005200079941759939,0.008751951609911953,-0.00014319329343056347,0.004369517218249412,0.5044331705705875,-0.10275219946566354,0.7712752884401352,-0.05501094471772541,0.5896742899334527,0.9999127791590009,0.4414810633752584,0.002462006820803647,0.001991815737333884,-0.0215992243816193,0.004313371919908271
ACCLOC,-0.16702433747430778,-0.20084929701283274,-0.07309005989347095,-0.011361221352037995,-0.16288634908172825,0.01655952314601744,-0.038439435029831756,-0.03035360382278215,0.02044485488406217,-0.054137953244378964,-0.01747939052374014,1.0,-0.589213671726688,0.019008449907332487,-0.0702460475416438,0.008322409923809147,-0.04203252454480469,-0.013068135023523947,0.042316088486459146,0.0554430615468642,0.003364287691192218,-0.008251791921986888,-0.0004114912752374973,-0.04108123859930815,-0.14084872453795003,0.08966228232716933,0.022104823002358838,-0.12386713743601915,0.1478814282338631,-0.002497417281586243,-0.003972356525699274,0.035793923872128555,0.030422858334327396,-0.03246174094657943,-0.0485301782406964,-0.03267826984387088,-0.01563857049271858,-0.006950805234073851,0.018956273578994435,-0.015371679435028646,-0.010506881631675907,0.060353717952781126,-0.19425725539352137,-0.21023701809323503,0.057156117447729575,0.016814637446124762,-0.006144893250226487,-0.0018412069863123599,-0.017751052697622557,0.009197463571560437,-0.01476876510124653,-0.01682305151157198,-0.05396601119578109,-0.16505575259384955,0.0077348797608998866,-0.0031245496947735828,0.00772665149555562
TRAFFCTL,0.027043945892576783,0.018796210532000725,0.031279409933133356,-0.005710495843623316,0.19285635880283125,-0.012056096461348472,0.16435512622907175,0.036268752016704334,-0.029119747865068032,0.059894218170815805,0.0032957346874046374,-0.589213671726688,1.0,0.0008477413088034162,0.05318675315404202,0.017906582751220937,0.044993416197484204,-0.0025591419233008373,-0.007305712219365788,-0.017030285225101624,0.00690956576517251,-0.046131080016856875,-0.014679529043206218,0.008180028524676352,0.1630727030999392,-0.08894213423924927,-0.0015277630040675886,0.1408447552211019,-0.167382141720637,0.019750170505093905,0.0210979319077467,-0.006033372265440915,-0.0009417208939287223,0.02823083080498454,0.004232824983438338,0.02602200392587405,-0.04200466355351246,0.03190931133047023,-0.004339141791897909,0.005814141906300787,0.02797300671698982,-0.09718691839390924,0.19822696792892366,0.33119741229892136,-0.0549942492399897,-0.025506437580426717,0.016173597017422672,0.011953597372156113,0.007565152572217631,0.010095728075394807,0.010848621488029108,0.00245411974103532,0.059303005252401716,0.02889583341554765,0.0033372360626400936,-0.004473569567068176,-0.007838530196052827
VISIBILITY,-0.054003202944944234,-0.053423179815851075,-0.0505980326769284,0.019546696230882742,-0.0002306085133499818,-0.012779407863287729,0.026125208304295905,0.0003131030500231055,0.0021386117790458746,0.017548867105580183,0.009480231772027854,0.019008449907332487,0.0008477413088034162,1.0,-0.16389228939026676,0.7528013402328866,0.007594532090501241,-0.04208188803758834,0.02945108760785336,0.014518021737797234,0.0005296956889517726,-0.018514870490035244,-0.015092446220514496,0.009023628860919211,0.0017596932215428935,0.026002790019776557,0.023107937672059896,0.06531401105912356,-0.05290806238610295,-0.05319268180073482,0.03195905568561835,0.03522381552766805,0.03794514651565224,0.10373012076687865,-0.06162232663271278,0.009525856023174472,-0.09352475610524513,-0.016348584543141538,0.0020979438747989665,0.010105564364944824,-0.031050927508286915,0.01179310532167812,-0.01843959540201903,-0.030417715876744404,-0.0003483621823349311,-0.022320395242881434,-0.0169845687607615,-0.007406331289979622,0.008995354055910386,-0.00995972710066632,-0.004006040730652016,0.009277738013822081,0.017590718727917596,-0.05572850668518177,0.02541940830246466,0.01889569808323172,0.010704285899943697
LIGHT,0.08594906397557145,0.0569821635631392,0.04202684574680814,-0.0050708570948186016,0.00032467879705455686,0.024415474751354697,-0.019661968349673944,-0.013413736673185569,-0.006592741288342022,0.005651043018605483,0.007446201257069233,-0.0702460475416438,0.05318675315404202,-0.16389228939026676,1.0,-0.16696605205587906,0.046310666346748845,-0.01462765319899427,-0.03926749657417207,0.05312203162597599,0.01695110729609621,-0.003345216906790119,-0.004917423129323618,-0.014315266292091438,0.07336944510150151,-0.055380390313825065,0.0018836374841123646,0.009733620301343875,-0.0076798183342620206,0.04258742504062005,-0.04714882516474969,-0.05718489010104625,-0.04579316643389641,-0.030230680328024128,0.10029660909227082,-0.0695447948846837,0.0527697765285167,0.08111044407557451,0.036051458778648786,-0.01502246709159515,-0.08595153573205637,-0.1441633900730627,-0.003919378398856368,0.006432659890998363,-0.1746406890561794,0.05548609594195926,0.003451281686250421,-0.009346966825100793,0.006893823128650559,-0.024346462782866753,0.008924014294789125,0.007400447348423776,0.005754635786393252,0.084115020811268,-0.045958366543765915,0.004184653862405288,-0.08493716414773647
RDSFCOND,-0.047742651794534505,-0.04913486146221926,-0.04708776411504084,-0.00424840490487353,0.016986127589657715,-0.004919825941054261,0.035143250745930034,-0.002241420088122957,0.011793232290049659,0.03179462868201407,0.02133318651786326,0.008322409923809147,0.017906582751220937,0.7528013402328866,-0.16696605205587906,1.0,-0.000799724005485725,-0.02736947256433787,0.02998236955539667,0.008192181802841446,-0.0015792952327474048,-0.0923468081789875,-0.013705518132319839,0.0134055744120812,0.005995818772176683,0.01714306267744939,0.016565073572918223,0.06878763860617455,-0.05474677729508044,-0.054375676802768336,0.038411009734990516,0.04094976831149464,0.042923889038106046,0.11110467660002252,-0.07309896517398917,0.007862603597792176,-0.10883099128804402,-0.008954515643659428,-0.004448643628946338,0.039249390643854506,-0.02715744409437501,-0.010729135066963182,-0.011226232977711508,-0.01697462340985714,0.006084023576949506,-0.025536520209332995,-0.014680508685971098,0.015808879245994768,0.011487191386357154,0.003451644746964611,0.0022591346827407262,0.021003882353801816,0.03197621951884329,-0.04869047419314296,-0.01502089850199412,0.004640370273052393,0.0012787635798324833
ACCLASS,-0.04952305693419592,-0.034888228584850994,0.02984620014514523,0.030384431647706277,-0.026130072389786006,0.009630420221225003,-0.10398343121741271,0.004954661275150816,0.04344662493912824,-0.058542725416872395,-0.022089128661248653,-0.04203252454480469,0.044993416197484204,0.007594532090501241,0.046310666346748845,-0.000799724005485725,1.0,0.024933432719769704,-0.05946177168424993,-0.04612013299785023,0.07464377454507141,,-0.015503930568202403,-0.08598767089624233,0.047014960049598584,-0.018394204142646125,-0.04355867872115695,-0.03024157133300406,0.028402364471061103,0.006631347184357923,-0.04364052182989825,-0.04792342623776063,-0.05485873449301943,-0.09918116031773372,0.0751334868758582,0.07470054448733746,0.005434439375557626,-0.11116921070089618,-0.04723913327908253,0.014639547572726345,0.003983606725447543,-0.09021294030523452,0.032865565453169585,0.006108463060404397,-0.02866994505546501,0.006961893423324059,0.01600823951461263,-0.00569740723014233,-0.012815086949463253,-0.013848380307684352,-0.007306982537527692,-0.02136669965123542,-0.05848297258280625,-0.04979886972542977,-0.006155117005712935,0.008246886508324646,0.008239514108325716
IMPACTYPE,0.02646562668848059,0.022771109020530755,0.030986381106360192,0.05189939169882355,-0.002243917805575166,0.009343141248984747,-0.00033053328549953166,-0.003718332702017591,-0.06599487649363578,0.03111400785681744,-0.010303212228858445,-0.013068135023523947,-0.0025591419233008373,-0.04208188803758834,-0.01462765319899427,-0.02736947256433787,0.024933432719769704,1.0,0.0256405495916957,-0.025005362356519515,-0.013494589955614656,0.0017553688160348007,-0.008619703943673588,-0.004603573677807425,0.13696187650266567,-0.041321365652268696,-0.07651840952983961,-0.08150855532725243,0.05284833176942047,0.07663801300914154,0.16543072192658131,0.17982347824793724,0.17566507232700748,-0.17130959448097693,-0.3069828147157386,0.04701250708730632,0.299615324111978,-0.018952018413936744,-0.04715209383784984,-0.012608040050298988,0.11262905579787011,0.05796741678033301,0.020467335138192638,-0.1915315800638141,0.002232032702260234,0.01821823444854726,-0.013581155375669493,-0.01389327005388479,-0.020517119856601373,0.020362047186568335,-0.03648557877207677,-0.01085990222681751,0.03053541573439089,0.026617393454001093,0.025792803248254656,0.01721128045831989,0.012331183998946572
INVTYPE,-0.12255814259472816,-0.13453637560966372,-0.0962494917710654,-0.026461457201852716,0.011341386755631485,-0.0005476579099033751,0.06892963095031074,-0.010446687541041956,-0.0013963303672756427,0.0034787530968510274,-0.00012040980104944147,0.042316088486459146,-0.007305712219365788,0.02945108760785336,-0.03926749657417207,0.02998236955539667,-0.05946177168424993,0.0256405495916957,1.0,0.33161708423473407,-0.07832474378279329,0.02179640538957688,-0.040421111022919634,0.7276129635163656,-0.06172907656880475,0.6043600452662428,0.5598755541517011,0.3571581948265229,-0.23357268396281852,-0.3374115117167315,0.21960402297650414,0.23633395854036793,0.2286670114953585,0.2007827254225212,-0.2251344095624293,-0.14045806477541364,-0.02962808946473311,0.18430718397675186,0.04204512204359007,-0.0007493828003230874,0.08840788968705272,-0.006569805918157811,-0.029238635539537858,-0.01898672964470295,0.011798125322394715,-0.02448093507814899,0.0031219534546328637,0.007139207608662318,0.0015815202962257136,0.006147717728050742,0.011869122951826383,-0.00015689931148693922,0.0034300157406849624,-0.12217240546000344,-0.012038050387603229,-0.0026739699624805315,-0.0017952027060330505
INVAGE,-0.1665474212324903,-0.20102297831519347,-0.14314089333077745,-0.015182553215529655,-0.00475454201043313,0.005600670862548774,0.11217406993210002,-0.006737792019312517,-0.012248394778997225,0.005269007137597683,-0.012088358486760495,0.0554430615468642,-0.017030285225101624,0.014518021737797234,0.05312203162597599,0.008192181802841446,-0.04612013299785023,-0.025005362356519515,0.33161708423473407,1.0,0.2387525924658547,0.06401632491584548,-0.02491046558903704,0.039084500620532266,0.04839474907005055,0.17033621258156909,0.2036495187680139,-0.006115119734965887,-0.025476545924073286,0.04989612739765904,0.07081110002548364,0.08027218777721778,0.07880621282561853,0.05754765947477398,-0.020361885613826392,-0.042286390687715746,-0.0709020421652918,0.04383825590265491,0.034212361277288265,-0.0030858087963236045,-0.1457099127066214,-0.07469673700827789,-0.04378592976902833,-0.019691983712951885,-0.03810239816924692,0.055801889409694404,-0.02311869703982526,-0.0012503873410484555,-0.004019122709558098,-0.014293053372132476,-0.003971967051077734,-0.012233251804239762,0.004879367085879046,-0.16844765190399935,-0.0020893500197536694,0.00570743173287723,-0.050196437812676235
INJURY,-0.06672183059181062,-0.07728043374507243,-0.04576409676319731,0.017732748441007796,0.0013276279359899573,0.005098724135942509,0.035256409650705825,0.0050174112967044954,0.024278540321368274,-0.022864739699366813,-0.0015533570558287602,0.003364287691192218,0.00690956576517251,0.0005296956889517726,0.01695110729609621,-0.0015792952327474048,0.07464377454507141,-0.013494589955614656,-0.07832474378279329,0.2387525924658547,1.0,-0.08428846074222601,-0.014985881696687386,-0.19317122918588517,0.19272037902727482,-0.271966742805469,-0.18081804466284215,-0.41891568766659437,0.2759915892518092,0.3959999518115576,0.17460332727981806,0.19072443635628838,0.18343700006845665,0.0463028114574387,0.022348833435956162,0.023077275131773465,-0.021244254106356924,0.0301975573256369,0.02508411275463438,0.006869621837349381,0.03174448729965858,-0.03773693219783534,-0.009392102147078458,-0.009096239379974901,-0.02816194993157306,-0.014025103225911576,0.0005702396584506269,0.009283731839973644,0.00605335539622764,0.0011736518366862309,0.0026522022465835368,-0.0012157885357373258,-0.022670112773309374,-0.06731511459222692,-0.0011361451506973006,-0.0007407904063131473,-0.009998300414247735
FATAL_NO,0.12995326797773565,0.16383296165238234,0.0627446157235508,0.048066955476874645,-0.038822976223519684,-0.0007850389517000969,-0.025292793520705816,-0.024222293456804576,0.05083631179851372,0.048891415866503765,0.08230572284074848,-0.008251791921986888,-0.046131080016856875,-0.018514870490035244,-0.003345216906790119,-0.0923468081789875,,0.0017553688160348007,0.02179640538957688,0.06401632491584548,-0.08428846074222601,1.0,-0.03628437710490249,0.09912753288436912,0.008338927295275859,0.02789181558791551,-0.0040927814609797,-0.01986451110800847,0.01750486014515064,0.014560967604089058,-0.04726640104303861,-0.04711541266246278,-0.0424717315310806,0.024289233399816798,0.05957399655939974,0.10414038055996924,-0.024168850758787004,-0.04178885409119153,-0.03421839679198259,0.010070566445513926,-0.02910945211757716,-0.01677864409494637,-0.0539620976883923,-0.015040858521153352,0.01117246742998718,0.005582820679618105,0.02948981330810556,0.04084707859832283,0.09397238606610331,0.05739319589976205,0.005444378724567531,0.08212408024215768,0.05047783032116059,0.05376575089473532,0.8711232168478847,0.05606758752763957,-0.03809054848673287
INITDIR,0.03001717453519968,0.033647881286224944,0.02579368717371726,0.013656510309242052,0.009513349816414133,0.020939662562332585,-0.031889602902723774,0.00876633377236995,0.0005181412820890985,-0.012171201637560788,0.001063513026944931,-0.0004114912752374973,-0.014679529043206218,-0.015092446220514496,-0.004917423129323618,-0.013705518132319839,-0.015503930568202403,-0.008619703943673588,-0.040421111022919634,-0.02491046558903704,-0.014985881696687386,-0.03628437710490249,1.0,-0.013672220392874683,0.012439523297131244,-0.03094068946478525,-0.027598398105909215,0.018320746853464867,0.005695113701516629,-0.03534160356163264,0.0011717643852355848,-0.0012838728516906342,0.005647221823727598,0.04101975587621399,-0.003490614466967445,-0.004207046129958459,-0.014280252782522037,0.008113589258169204,0.009095825874157228,-0.005792917532952979,-0.035671030504763196,-0.011158017904501232,-0.016441726243344428,-0.011877642116234106,-0.0014327280820723369,-0.0032411645123405688,0.0019334640848042402,-0.004241863360719654,0.0035689622418289915,-0.009696334732072705,-0.006200262440436326,0.001245049192135743,-0.01200240452536,0.029667925300155433,0.015941701083276572,-0.006175237594174995,-0.0058665343994829585
VEHTYPE,0.22973503007115,0.26357795386043925,0.19872791402413242,-0.002388751750661203,0.00891291203314634,0.008833368438752334,-0.11386273699383062,-0.002118634467490696,0.006553068981697622,0.00908221194658026,0.012484330458410043,-0.04108123859930815,0.008180028524676352,0.009023628860919211,-0.014315266292091438,0.0134055744120812,-0.08598767089624233,-0.004603573677807425,0.7276129635163656,0.039084500620532266,-0.19317122918588517,0.09912753288436912,-0.013672220392874683,1.0,-0.05547811997752576,0.5223379826654445,0.4960272922899412,0.38634182133747125,-0.26469541206938885,-0.3676170288053201,0.14097923331434123,0.1524818204052441,0.14720448694626112,0.21660789229573518,-0.1657009283853759,-0.1758802107308742,-0.0441439590994318,0.15730263823003682,0.08220561977533518,0.04127923645474945,0.1590635453753194,-0.003762273577122572,-0.02765091226371243,-0.01853226019960373,-0.0055506250493221705,-0.03945822520219897,0.01902864117793075,-0.008566147179216109,0.014572161419788577,-0.010179236813134996,0.008963607837375187,0.0124384484946049,0.009290650768103603,0.22642571817537777,0.004335546648971484,0.001210913346223514,0.01764316708821442
