,OBJECTID,INDEX,ACCNUM,DATE,TIME,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,DIVISION,x,y
VEHTYPE,-0.3386839187905926,-0.388333203110553,-0.2603218387133854,-0.3346486847235012,-0.04810097194776689,0.018346828100622627,0.009059011050569948,-0.16819649511538107,-0.0162469609238023,0.02896225867515666,-0.0363466536378795,-0.02625064716612147,-0.2535755800195722,-0.022018261127954714,0.014954455310611429,-0.008532414708577287,0.010804960491389765,0.017347345225662607,0.019517306404539806,0.48335346136725366,0.23853943314743944,-0.0785113092204559,-0.17287013202097862,-0.192066454502769,1.0,-0.14297881297014892,-0.16439332154221378,-0.20055770991097902,0.04696326045938624,0.050884662393929754,0.03987709882937984,-0.0887772355775942,-0.07983131856452644,-0.1002779166768729,0.027676430459435315,-0.07569661115317024,-0.23582409540342858,0.036657419227084466,0.2863485672083302,0.09936094110102527,-0.009237234280769644,-0.047814438188828544,-0.01892970237262854,-0.03574914171517808,-0.027212966988599978,0.005981481155712763,-0.00556824754289417,0.02054522098532616,0.02427251522704715,0.019763841418179676,0.014252991182038216,0.007431337887411449,-0.02586583948002184,-0.03661640251629971
MANOEUVER,0.04655850887649506,0.04096390588560835,0.04739569176956375,0.047438451718371535,0.025823372896029914,0.007699641137971758,0.016797440215854758,-0.017296703086958933,0.017777256380594058,-0.015846375938437438,-0.0012377676422100233,-0.013918632532827498,-0.03117245949267709,0.1191463444296239,-0.01996774594925277,0.09015431451019458,-0.01783099174637553,-0.06255084241659564,0.11392949367707743,-0.5485896893832379,-0.07840622039737323,-0.18247092473653695,-0.03722196184820395,0.2963186007120872,-0.14297881297014892,1.0,0.45040132087890394,0.5604439158688719,-0.2795396199789276,-0.28114666259677545,-0.3169112427466572,0.013182203796871197,0.029370435801391603,0.022466549825767977,-0.0932209533200797,0.10321522440849429,0.01697915709103309,0.08647787021521304,0.02758199795914108,-0.045395483432156096,-0.009408904624248716,-0.13920855815007893,-0.049007570894532566,0.0917263181897489,-0.035971436664305224,-0.04964605749400063,0.0037699068938260387,-0.0003452381031520636,-0.01579388310066524,-0.004253045441159296,-0.016319750522492592,-0.020938476649975495,-0.013991631404018972,-0.00158337138463959
DRIVACT,0.06349870611397736,0.0673276741399901,0.04377263408002987,0.06420922564652791,-0.019780080141014518,-0.03502186728462169,-0.025971813405329686,0.06365459867574597,-0.034130858420834,-0.024992564174618703,-0.009957351067151725,-0.010710473604431158,0.07953980873365744,-0.09125612637220439,-0.006555035848425042,0.010098735548480639,-0.01014079057767625,-0.013487600972004136,0.10846850270276474,-0.531077333233515,-0.13227085348372536,-0.08431514364781159,-0.056525188239290806,0.30390050345410147,-0.16439332154221378,0.45040132087890394,1.0,0.6382227930434763,-0.27962703034555914,-0.278064532400241,-0.31669784160591685,-0.13042929860712182,-0.11747067753268867,-0.1480772424619336,-0.15849462656560526,-0.0178431908579092,0.0028343530672539246,0.14571144280082868,-0.004630318536291997,-0.06061740272451077,-0.012494158451149616,-0.10984939738176824,0.08311721869600167,-0.02919882023968867,-0.12312582204657435,0.025244659307610804,0.07325789502053061,0.0013900895137392568,-0.01611296665763533,-0.005222891500828359,-0.010069986712169824,-0.010635834998549896,-0.010655802233670388,-0.010094118959162597
DRIVCOND,0.08419012483645968,0.08788466822263089,0.06663226795578653,0.08532025198275416,0.02426254130258162,0.005371968661880433,0.00653230330205676,0.0440347510064632,0.0009606285877047608,-0.04560549915298257,0.01212109042217749,-0.021083213676551568,0.06768126089555077,0.008127045756101691,-0.020781328271554832,0.05714206562026614,-0.017630152757848804,-0.010510379907402102,0.08915889531218547,-0.7247362524964749,-0.17163079106549373,-0.16401824215846245,-0.062304085859249465,0.4181215976970199,-0.20055770991097902,0.5604439158688719,0.6382227930434763,1.0,-0.38314831686902967,-0.3806992683043086,-0.43359228712917686,-0.1785712766621516,-0.1608295764939029,-0.20273314748619364,-0.14619266147938847,-0.05127899013398912,0.033673527074505355,0.1759620243118283,0.0016307197805015964,-0.03054404599175865,-0.006737154159208419,-0.12074689143472248,0.029268597226730596,0.049200584625936204,0.028880765077169895,-0.10516588681114238,0.029143130196949467,-0.020415944627761324,-0.013430454293233189,-0.028396652059692985,-0.005112072842043603,-0.0264380896139382,-0.021410936259871245,0.011470186096523803
PEDTYPE,0.040284102109069846,0.034416082045844315,0.005668123633805826,0.038516981749250334,0.021584856872138878,0.03796352802040199,0.024495722368656707,-0.038432818578753816,0.02552806014351579,0.020584755809880607,0.01302517576610206,0.01346114620471084,-0.04065015687441954,0.14101683164581905,0.06461501710224349,0.00919809090322082,0.06864174601172617,0.030224122793770514,-0.08030292951825319,0.37441880796097216,-0.006226450169954378,0.20612798630554785,-0.01942746569220193,0.13131168115888664,0.04696326045938624,-0.2795396199789276,-0.27962703034555914,-0.38314831686902967,1.0,0.6086999543397738,0.8468805778692723,-0.07159681839348152,-0.06448341634651643,-0.0812843398682181,0.4752383555779391,-0.12846882362917134,-0.0408706862030974,-0.11193301443497052,-0.011495247746139232,-0.017408516958676103,-0.012963586601444957,-0.2247780970717423,-0.12251851346189589,-0.014679096259786412,-0.06873140239694668,-0.04838036673210735,-0.05385492415307498,0.003943189013698954,-0.013886009515317075,0.0059268163766192875,-0.023043800193892943,0.006334815008845222,0.013374338480013985,0.013182719154885784
PEDACT,0.02806222165596722,0.026684512266130576,0.0015174724608066684,0.026451692837337726,0.007192950156834152,-0.01142516527032283,-0.027967975155868376,0.02461882905661061,0.007438991141048856,0.03219998155442695,-0.01281695520206186,0.0055792650297968914,0.040156629134820106,-0.0820548234092095,0.039800530647846354,-0.01793739248646213,0.043742243608545645,0.05295122838884316,-0.07949102393938813,0.3712942022674411,-0.05455787290412148,0.19871148719561363,0.05905405345793892,0.14491040760261356,0.050884662393929754,-0.28114666259677545,-0.278064532400241,-0.3806992683043086,0.6086999543397738,1.0,0.8089578065247743,-0.07093711405259186,-0.06388925601043312,-0.08053537318142147,0.47085943465426255,-0.1259671564064374,-0.06408443235717545,-0.10694620839988545,-0.020979243687943086,0.011790331064520718,-0.01562787531519451,-0.21372984601925987,-0.10395412938400898,-0.1586410122923978,-0.0843976416053133,-0.03651200172906019,-0.049712163742338604,0.016056972196263467,0.005540705356779895,0.021967027035865044,-0.004259433052175185,0.002962702485030665,0.005825917105516138,-0.012573607911519721
PEDCOND,0.05403261419177017,0.048551325413080215,0.026255848190282774,0.053709369226753595,0.020415009696850867,0.015085879602129669,-0.0003371322110656742,-0.002426906893120704,0.010950038141218598,0.020869792815814307,0.011772358432150846,0.01638643649540904,0.016090502869169417,0.03255052281879479,0.05681847057601545,0.0007198827990170002,0.061675825592528724,0.06853962025008267,-0.09049306505168396,0.4231177240135343,-0.024349471697957936,0.2267299749249417,0.06099780302247053,0.15087447543409527,0.03987709882937984,-0.3169112427466572,-0.31669784160591685,-0.43359228712917686,0.8468805778692723,0.8089578065247743,1.0,-0.08079286745521333,-0.07276580477796493,-0.09172467498577262,0.5362789902314741,-0.14358063815397956,-0.05547128410187865,-0.12307851708257805,-0.017185366302620048,-0.012859333846517246,-0.013671777569502773,-0.24507529250776222,-0.12366787101896962,-0.07256925595637766,-0.07806496456712371,-0.04489599764172172,-0.05744003379470321,0.0036757524608257586,-0.0014881199241045732,0.007950548443355465,-0.01081400239046453,0.014677434814326408,0.016344988315908464,0.012014829603565393
CYCLISTYPE,0.027374970625644406,0.021501409951467192,0.018053495779856956,0.02556148821704753,0.0177246734665668,-0.01497853952141269,-0.0028570722448339808,-0.010439005783690945,0.023790000350022218,0.07092337604493507,-0.06365673485746216,0.002689719549575602,-0.017500024562496802,0.019687112515340967,-0.03636208866585583,0.057274723563501204,-0.04319971716528744,-0.04238604352545958,-0.17668662413867334,-0.23285363570602474,-0.07601874906071956,0.09808492576215277,0.059039660637754524,0.07501493701648762,-0.0887772355775942,0.013182203796871197,-0.13042929860712182,-0.1785712766621516,-0.07159681839348152,-0.07093711405259186,-0.08079286745521333,1.0,0.5937020760291558,0.8418543416449111,-0.14560898524197774,0.532948442864649,-0.0276148233681048,-0.05282566861858809,0.004457579442108524,-0.02017726478354157,-0.00391167128499756,-0.10482852787624937,-0.06433973219947085,-0.0365553761164813,-0.026229662085597474,-0.03084627433188621,-0.02982111628316921,0.06317486337019801,0.01225673975598741,0.07730834410278234,-0.0011305323029625527,0.0028260746628784397,0.0036531645342155156,-0.06291611043795313
CYCACT,0.02971527230928854,0.020401235830472653,0.017112057421825286,0.028325505092185108,0.018616743054826537,-0.026491424119795586,-0.001622873373547458,0.0032707444165432794,0.022144195324302073,0.058085474236881686,-0.06697658298916216,-0.008303195271561085,0.004380167528929348,-0.00693813002234798,-0.03418216599147446,0.052640349602474386,-0.04321645431514183,-0.036996509763989875,-0.1593064516521428,-0.21008271485661525,-0.06611797835312659,0.0879621679458372,0.05525860617974969,0.0673252039304014,-0.07983131856452644,0.029370435801391603,-0.11747067753268867,-0.1608295764939029,-0.06448341634651643,-0.06388925601043312,-0.07276580477796493,0.5937020760291558,1.0,0.7572430218013824,-0.13161614438617886,0.47999809354095074,-0.06494094438042135,-0.04636750131117605,0.02356501469299707,-0.010567488206608959,-0.004896080185914801,-0.09634556609958235,-0.05913082273113019,-0.08282158645341903,-0.04015238515783822,-0.032064099555422575,-0.026858280861549705,0.06326837834141821,0.016217929902170778,0.06965250808464891,-0.0028201688653952876,-0.0006003658366420931,-0.007362144862638197,-0.06647444189676872
CYCCOND,0.035020331384182764,0.02516272280412826,0.022335041508383516,0.033342963276117764,0.022315963451719576,-0.021294930072846042,-0.0002154040032739693,-0.0006271821500344064,0.03029712475317279,0.08791831179566885,-0.08480225345147971,0.00041219231362034007,-0.0008108755288532116,0.0011339527792166707,-0.039141997619172045,0.06731241637469017,-0.04824561547049724,-0.046876182518272295,-0.19871703986543926,-0.26457575086070767,-0.08505302597351427,0.1107609772728604,0.06127844175182944,0.08388585775269751,-0.1002779166768729,0.022466549825767977,-0.1480772424619336,-0.20273314748619364,-0.0812843398682181,-0.08053537318142147,-0.09172467498577262,0.8418543416449111,0.7572430218013824,1.0,-0.16220234392369456,0.6050598802305429,-0.05054188997584433,-0.05941940489112548,0.008598401440222612,-0.017485019475310233,-0.0013494205826315232,-0.12152300909399384,-0.0699610519196738,-0.06307623810133989,-0.041998733256115146,-0.03645157486597688,-0.03385610988869719,0.08236573098468936,0.01879823538065111,0.10047156938750408,-0.000984134690332002,0.009959311099819106,0.00167671591571564,-0.08389305703093863
PEDESTRIAN,0.035668526990227586,0.020915645608145777,-0.005040972013360637,0.033969061496118814,0.034267444594700575,0.016988067858182465,-0.010276240188329193,-0.013044104210290001,0.03261938233797646,0.057769753291900816,0.0074989827466883765,0.031041060481954503,0.0010025628397565085,0.028111278062872648,0.1025829075034206,-0.031705828609430095,0.1110789203716603,0.09928338775531538,-0.1687586478505771,0.20723475822410284,0.057431416912412644,-0.18265912084594485,0.024851488124807506,0.13199403918538088,0.027676430459435315,-0.0932209533200797,-0.15849462656560526,-0.14619266147938847,0.4752383555779391,0.47085943465426255,0.5362789902314741,-0.14560898524197774,-0.13161614438617886,-0.16220234392369456,1.0,-0.26899206998914443,-0.10407207251605154,-0.22967723663151499,-0.022362887747622826,0.012681616394252446,-0.020894619526683183,-0.3538718751192918,-0.2154649887970542,-0.1730505678687664,-0.1426515896493528,-0.08282670458833284,-0.10125224736853036,0.020866441833250836,0.004074090812405883,0.026025647142393093,-0.019351443031018378,0.02871481443287671,0.031179561810454164,0.00812767762857097
CYCLIST,0.026909093376189276,0.009960085301264757,0.01921880329758463,0.023857692648846733,0.040696626862333315,-0.031117304252629673,-0.0036696948460788774,-0.01450347551069405,0.04813762517543085,0.1584443422273423,-0.13843762104911078,0.010235995558545777,-0.01663987908153906,0.0026703932387944817,-0.06026123359128855,0.10056116930966212,-0.07207362641923158,-0.07526731214048418,-0.3058455200588467,-0.23047004206153177,-0.020505010062265953,-0.07562103320131675,0.05967671400276935,0.06675421336999245,-0.07569661115317024,0.10321522440849429,-0.0178431908579092,-0.05127899013398912,-0.12846882362917134,-0.1259671564064374,-0.14358063815397956,0.532948442864649,0.47999809354095074,0.6050598802305429,-0.26899206998914443,1.0,-0.07390481036355155,-0.09784262783087884,0.01676835964540612,-0.019505378314094827,-0.00046914660335750657,-0.1622069746404733,-0.10921544492759086,-0.10382944809152049,-0.06323146489166812,-0.054345883481836436,-0.05595497403628411,0.13063384242504716,0.03377057669382256,0.16325641529607277,-0.00510509568990842,0.027151025982267617,0.012361646001925311,-0.13670931758544919
AUTOMOBILE,-0.03480905037355401,-0.008761784452463244,-0.01176126907706015,-0.03324309614850369,0.03059821464409235,-0.037219850212753695,-0.0026884293933589834,-0.0023083667588474103,-0.0017667553243440538,-0.0816120077508996,0.08522489260974153,0.0030176132428215777,-0.01981308587931268,0.0246064630609934,0.011034210066649683,-0.06773309153423944,0.007724272460599965,-0.07496970763035991,0.04674360279697209,-0.1403663592513898,-0.042443155925328914,0.04657869278373787,0.10388866887421624,-0.012932008674857956,-0.23582409540342858,0.01697915709103309,0.0028343530672539246,0.033673527074505355,-0.0408706862030974,-0.06408443235717545,-0.05547128410187865,-0.0276148233681048,-0.06494094438042135,-0.05054188997584433,-0.10407207251605154,-0.07390481036355155,1.0,-0.11598440377970076,-0.38425987617855334,-0.42459734042227426,-0.034489033972436946,0.12979273138735534,0.06462565296794638,0.14753749557958146,0.08471088576649638,0.05588165827776006,0.05056573324836089,-0.06498715640928487,-0.013341015175567569,-0.086313560281563,0.001422283113406461,-0.0156497731477523,0.001775640360802444,0.08438668259534027
MOTORCYCLE,0.11320097149354857,0.09816879067859481,0.06737010390181437,0.11369022050357212,0.078969941687042,0.008195123561121925,0.018510405171538305,0.05745338134388128,-0.01877203609736712,-0.0024324113000330516,-0.055571509856179674,0.0008217245635870325,0.06832236866630376,-0.04304368236251359,-0.0945527560979259,0.05298049914595222,-0.10917963808793099,-0.005548575845545908,0.29747970341649704,-0.02926434124240958,-0.07104776735542725,-0.027478265473248716,-0.023990670164840962,0.03485585390326572,0.036657419227084466,0.08647787021521304,0.14571144280082868,0.1759620243118283,-0.11193301443497052,-0.10694620839988545,-0.12307851708257805,-0.05282566861858809,-0.04636750131117605,-0.05941940489112548,-0.22967723663151499,-0.09784262783087884,-0.11598440377970076,1.0,-0.04697953612251002,-0.06129960692182884,-0.00860720572721925,-0.06659767213212729,0.08533857702459773,0.0752867259444429,-0.031035824437046198,-0.041164775856099914,-0.04175175755713228,-0.020568996667462907,-0.01257894570852228,-0.003549357788241234,-0.007113851573110139,-0.01971175932094748,0.0016162250276419718,-0.054918723234604595
TRUCK,-0.0029967432354661766,-0.015123870572612214,-0.004461261942219064,-0.00383684891007642,-0.054775407271144605,0.007173303326534545,0.007517784363728821,-0.017813682333273965,-0.008126716677981137,-0.02149199146617668,-0.020358089251298835,-0.05145456786745462,-0.016486508725397697,0.03293189318679284,-0.017779429495908022,0.07916757022646251,-0.009594171462816773,0.11108748700993491,-0.018288766460508896,0.1857599838272504,0.043747740261838766,-0.03586651120623473,-0.04160210576928658,-0.006741944432902409,0.2863485672083302,0.02758199795914108,-0.004630318536291997,0.0016307197805015964,-0.011495247746139232,-0.020979243687943086,-0.017185366302620048,0.004457579442108524,0.02356501469299707,0.008598401440222612,-0.022362887747622826,0.01676835964540612,-0.38425987617855334,-0.04697953612251002,1.0,-0.018983717250966127,-0.013063080487229269,-0.029395766672715158,-0.003871912544037153,-0.013119195632268286,-0.01535804168719185,-0.03460331260323679,-0.015750132918863888,-0.0002856195959454807,0.01818648190093532,-0.00880628241243965,0.0077065870521500265,-0.009974942233154753,-0.05145410202165326,-0.021433974959312794
